State,Population,Males,Females,SexRatio,LiteracyRate,RuralPopulation,UrbanPopulation,Density
Andaman and Nicobar Islands,380581,202871,177710,876,86.63,244411,135533,46
Andhra Pradesh,84580777,42442146,42138631,993,67.02,56361702,28219075,308
Arunachal Pradesh,1383727,713912,669815,938,65.38,1069165,313446,17
Assam,31205576,15939443,15266133,958,72.19,26780526,4388756,397
Bihar,104099452,54278157,49821295,918,61.8,92075028,11729609,1102
Chandigarh,1055450,580663,474787,818,86.05,29004,1025682,9252
Chhattisgarh,25545198,12832895,12712303,991,70.28,19603658,5936538,189
Dadra and Nagar Haveli,343709,193760,149949,774,76.24,183024,159829,698
Daman and Diu,243247,150301,92946,618,87.1,60331,182580,2169
Delhi,16787941,8887326,7800615,868,86.21,944727,12905780,11297
Goa,1458545,739140,719405,973,88.7,551414,906309,394
Gujarat,60439692,31491260,28948432,919,78.03,34670817,25712811,308
Haryana,25351462,13494734,11856728,879,75.55,16531493,8821588,573
Himachal Pradesh,6864602,3481873,3382729,972,82.8,6167805,688704,123
Jammu and Kashmir,12541302,6640662,5900640,889,67.16,9134820,3414106,56
Jharkhand,32988134,16930315,16057819,948,66.41,25036946,7929292,414
Karnataka,61095297,30966657,30128640,973,75.36,37552529,23578175,319
Kerala,33406061,16027412,17378649,1084,94,17445506,15932171,859
Lakshadweep,64473,33123,31350,946,91.85,14121,50308,2013
Madhya Pradesh,72626809,37612306,35014503,931,69.32,52537899,20059666,236
Maharashtra,112374333,58243056,54131277,929,82.34,61545441,50827531,365
Manipur,2721756,1290171,1280219,992,79.21,1899624,822132,122
Meghalaya,2966889,1491832,1475057,989,74.43,2368971,595036,132
Mizoram,1097206,555339,541867,976,91.33,529037,561997,52
Nagaland,1978502,1024649,953853,931,79.55,1406861,573741,119
Odisha,41974218,21212136,20762082,979,72.87,34951234,6996124,269
Puducherry,1247953,612511,635442,1037,85.85,394341,850123,2598
Punjab,27743338,14639465,13103873,895,75.84,17316800,10387436,550
Rajasthan,68548437,35550997,32997440,928,66.11,51540236,17080776,201
Sikkim,610577,323070,287507,890,81.42,455962,151726,86
Tamil Nadu,72147030,36137975,36009055,996,80.09,37189229,34949729,555
Tripura,3673917,1874376,1799541,960,87.22,2710051,960981,350
Uttar Pradesh,199812341,104480510,95331831,912,67.68,155111022,44470455,828
Uttarakhand,10086292,5137773,4948519,963,79.63,7025583,3091169,189
West Bengal,91276115,46809027,44467088,950,76.26,62213676,29134060,1030
